Output[343]: {-0.50686,-0.377614}	FIRST SYMBOL	Pass
Output[344]: {0.086802,0.635026}	FIRST SYMBOL	Pass
Output[345]: {0.392708,-0.405382}	FIRST SYMBOL	Pass
Output[346]: {-0.606478,0.060099}	FIRST SYMBOL	Pass
Output[347]: {0.592817,0.35254}	FIRST SYMBOL	Pass
Output[348]: {-0.137477,-0.568466}	FIRST SYMBOL	Pass
Output[349]: {-0.25597,0.618305}	FIRST SYMBOL	Pass
Output[350]: {0.645828,-0.172247}	FIRST SYMBOL	Pass
Output[351]: {-0.631068,-0.225599}	FIRST SYMBOL	Pass
Output[352]: {0.2787,0.629761}	FIRST SYMBOL	Pass
Output[353]: {0.174111,-0.637371}	FIRST SYMBOL	Pass
Output[354]: {-0.683587,0.322406}	FIRST SYMBOL	Pass
Output[355]: {0.680854,0.154991}	FIRST SYMBOL	Pass
Output[356]: {-0.302946,-0.536889}	FIRST SYMBOL	Pass
Output[357]: {-0.091761,0.697176}	FIRST SYMBOL	Pass
Output[358]: {0.491757,-0.447422}	FIRST SYMBOL	Pass
Output[359]: {-0.58073,-0.00598}	FIRST SYMBOL	Pass
Output[360]: {0.451747,0.426406}	FIRST SYMBOL	Pass
Output[361]: {-0.082531,-0.59099}	FIRST SYMBOL	Pass
Output[362]: {-0.397241,0.438338}	FIRST SYMBOL	Pass
Output[363]: {0.477574,-0.062933}	FIRST SYMBOL	Pass
Output[364]: {-0.464513,-0.343151}	FIRST SYMBOL	Pass
Output[365]: {0.177781,0.50438}	FIRST SYMBOL	Pass
Output[366]: {0.269553,-0.436224}	FIRST SYMBOL	Pass
Output[367]: {-0.357437,0.268467}	FIRST SYMBOL	Pass
Output[368]: {0.411299,0.139537}	FIRST SYMBOL	Pass
Output[369]: {-0.170602,-0.32619}	FIRST SYMBOL	Pass
Output[370]: {-0.034252,0.362603}	FIRST SYMBOL	Pass
Output[371]: {0.311188,-0.332015}	FIRST SYMBOL	Pass
Output[372]: {-0.319629,0.020805}	FIRST SYMBOL	Pass
Output[373]: {0.326006,0.186697}	FIRST SYMBOL	Pass
Output[374]: {-0.134528,-0.336642}	FIRST SYMBOL	Pass
Output[375]: {-0.0277,0.307144}	FIRST SYMBOL	Pass
Output[376]: {0.269615,-0.239403}	FIRST SYMBOL	Pass
Output[377]: {-0.34781,-0.069365}	FIRST SYMBOL	Pass
Output[378]: {0.245984,0.178728}	FIRST SYMBOL	Pass
Output[379]: {-0.095999,-0.294327}	FIRST SYMBOL	Pass
Output[380]: {-0.081139,0.245563}	FIRST SYMBOL	Pass
Output[381]: {0.234095,-0.152644}	FIRST SYMBOL	Pass
Output[382]: {-0.318824,0.034648}	FIRST SYMBOL	Pass
Output[383]: {0.318252,0.259945}	FIRST SYMBOL	Pass
Output[384]: {-0.093791,-0.367722}	FIRST SYMBOL	Pass
Output[385]: {-0.17047,0.407909}	FIRST SYMBOL	Pass
Output[386]: {0.404102,-0.153838}	FIRST SYMBOL	Pass
